state,trump,biden,diff
alabama,-1424,-1468,44
alaska,0,0,0
arizona,-4492,-12594,8102
arkansas,-14774,-6819,-7955
california,-11371,-37987,26616
colorado,-1809,-5270,3461
connecticut,-3944,-1556,-2388
delaware,0,0,0
districtofcolumbia,0,0,0
florida,-21654,-121057,99403
georgia,-30456,-28990,-1466
idaho,0,-152,152
illinois,-2360,-20196,17836
indiana,0,-6658,6658
iowa,-1192,-12870,11678
jersey,-80251,-9364,-70887
kansas,-4226,-21242,17016
kentucky,-22420,-10729,-11691
louisiana,-2323,0,-2323
maine,-287,-1605,1318
maryland,-203,-1591,1388
massachusetts,-3630,-1455,-2175
mexico,-2277,-2826,549
michigan,-30797,-40697,9900
minnesota,-110794,-91152,-19642
mississippi,-356,-47,-309
missouri,-16683,-8278,-8405
montana,-2331,-792,-1539
nebraska,-30116,-24406,-5710
nevada,0,-375,375
newhamp,-1029,-835,-194
newyork,-108251,-547545,439294
northcarolina,-4476,-11026,6550
northdakota,-392,-216,-176
ohio,-19771,-17635,-2136
oklahoma,0,-1331,1331
oregon,-2558,-1417,-1141
pennsylvania,-408564,-637928,229364
rhode,-6,-92,86
southcarolina,-3947,-2841,-1106
southdakota,-1348,-670,-678
tenn,-2329,-7580,5251
texas,-34219,-102414,68195
utah,-1626,-2442,816
vermont,0,-485,485
virginia,-141573,-656028,514455
washington,0,-5592,5592
westvirginia,-50269,-26940,-23329
wisconsin,-4227,-17768,13541
wyoming,0,-26,26
